Create time for UNORDERED TABLE: 138.419seconds
Create time for ORDERED TABLE: 7.631seconds
Create time for BINARY TREE: 2.405seconds
Create time for AVL: 2.205seconds
Create time for HASH TABLE: 0.178seconds
Create time for UNORDERED MAP: 0.158seconds
intersections-at 1 1 1 1 1 1 
since-if 10 10 10 10 10 10 
in-quantity 2 2 2 2 2 2 
seen-by 48 48 48 48 48 48 
way-it 5 5 5 5 5 5 
can-never 21 21 21 21 21 21 
to-that 41 41 41 41 41 41 
window-and 10 10 10 10 10 10 
luminous-body 58 58 58 58 58 58 
because-it 59 59 59 59 59 59 
the-light 248 248 248 248 248 248 
in-front 75 75 75 75 75 75 
his-edition 11 11 11 11 11 11 
a-wall 20 20 20 20 20 20 
but-the 82 82 82 82 82 82 
casting-the 8 8 8 8 8 8 
it-is 687 687 687 687 687 687 
of-which 119 119 119 119 119 119 
and-then 126 126 126 126 126 126 
will-be 467 467 467 467 467 467 
a-base 8 8 8 8 8 8 
that-a 41 41 41 41 41 41 
which-the 213 213 213 213 213 213 
205-of 1 1 1 1 1 1 
light-but 6 6 6 6 6 6 
nothing-hence 1 1 1 1 1 1 
it-at 11 11 11 11 11 11 
object-is 26 26 26 26 26 26 
and-the 1034 1034 1034 1034 1034 1034 
gets-into 3 3 3 3 3 3 
it-will 125 125 125 125 125 125 
o-p 20 20 20 20 20 20 
b-to 7 7 7 7 7 7 
that-casts 5 5 5 5 5 5 
the-spot 38 38 38 38 38 38 
the-convergence 2 2 2 2 2 2 
why-the 17 17 17 17 17 17 
according-to 58 58 58 58 58 58 
as-z 1 1 1 1 156 1 
text-of 21 21 21 21 21 21 
light-and 211 211 211 211 211 211 
up-by 25 25 25 25 25 25 
in-the 1786 1786 1786 1786 1786 1786 
by-the 724 724 724 724 724 724 
be-in 39 39 39 39 39 39 
must-be 121 121 121 121 121 121 
will-be 467 467 467 467 467 467 
luminous-body 58 58 58 58 58 58 
is-ever 3 3 3 3 3 3 
transmitted-shadow 1 1 1 1 1 1 
between-the 233 233 233 233 233 233 
part-is 11 11 11 11 11 11 
it-is 687 687 687 687 687 687 
is-naturally 1 1 1 1 1 1 
and-since 9 9 9 9 9 9 
larger-will 2 2 2 2 2 2 
its-apparent 1 1 1 1 1 1 
so-far 30 30 30 30 30 30 
you-will 165 165 165 165 165 165 
d-is 13 13 13 13 13 13 
seen-in 82 82 82 82 82 82 
more-or 30 30 30 30 30 30 
will-not 74 74 74 74 74 74 
of-the 4416 4416 4416 4416 4416 4416 
231-the 1 1 1 1 1 1 
an-object 55 55 55 55 55 55 
in-lines 4 4 4 4 4 4 
the-light 248 248 248 248 248 248 
with-difficulty 3 3 3 3 3 3 
and-the 1034 1034 1034 1034 1034 1034 
conspicuous-where 1 1 1 1 1 1 
a-dark 31 31 31 31 31 31 
mist-diminishes 1 1 1 1 1 1 
background-as 4 4 4 4 4 4 
to-14 1 1 1 1 1 1 
of-the 4416 4416 4416 4416 4416 4416 
but-if 55 55 55 55 55 55 
suddenly-seems 2 2 2 2 2 2 
is-conterminous 3 3 3 3 3 3 
apart-and 3 3 3 3 3 3 
the-said 97 97 97 97 97 97 
is-more 38 38 38 38 38 38 
sun-and 56 56 56 56 56 56 
brightly-illuminated 1 1 1 1 1 1 
length-that 5 5 5 5 5 5 
proved-in 8 8 8 8 8 8 
degrees-in 1 1 1 1 1 1 
f-g 25 25 25 25 25 25 
to-those 31 31 31 31 31 31 
the-reciprocal 2 2 2 2 2 2 
of-the 4416 4416 4416 4416 4416 4416 
second-by 2 2 2 2 2 2 
as-the 308 308 308 308 308 308 
sees-the 17 17 17 17 17 17 
projects-images 1 1 1 1 1 1 
will-give 23 23 23 23 23 23 
is-quite 23 23 23 23 23 23 
background-to 3 3 3 3 3 3 
"-azurro 3 3 3 3 3 3 
of-the 4416 4416 4416 4416 4416 4416 
they-enter 5 5 5 5 5 5 
be-seen 162 162 162 162 162 162 
smaller-than 38 38 38 38 38 38 
goes-into 11 11 11 11 11 11 
grade-of 9 9 9 9 9 9 
is-always 29 29 29 29 29 29 
the-whole 139 139 139 139 139 139 
medium-depth 1 1 1 1 1 1 
p-is 11 11 11 11 11 11 
text-is 33 33 33 33 33 33 
ma-e 1 1 1 1 1 1 
deprived-of 11 11 11 11 11 11 
the-depth 12 12 12 12 12 12 
surrounded-by 33 33 33 33 33 33 
with-a 166 166 166 166 166 166 
taking-prospettiva 1 1 1 1 1 1 
fall-is 2 2 2 2 2 2 
known-only 1 1 1 1 1 1 
colours-they 1 1 1 1 1 1 
adversary-the 1 1 1 1 1 1 
side-of 114 114 114 114 114 114 
seen-by 48 48 48 48 48 48 
side-of 114 114 114 114 114 114 
the-window 52 52 52 52 52 52 
produced-as 1 1 1 1 1 1 
facet-of 1 1 1 1 1 1 
but-not 17 17 17 17 17 17 
a-great 88 88 88 88 88 88 
ground-covered 1 1 1 1 1 1 
through-an 3 3 3 3 3 3 
carry-out 11 11 11 11 11 11 
close-by 5 5 5 5 5 5 
works-14 1 1 1 1 1 1 
commentary:-" 1 1 1 1 1 1 
to-represent 41 41 41 41 41 41 
wenn-namlich 1 1 1 1 1 1 
which-larger 1 1 1 1 1 1 
vividness-in 1 1 1 1 1 1 
the-sky 59 59 59 59 59 59 
objects-in 25 25 25 25 25 25 
those-lofty 1 1 1 1 1 1 
of-the 4416 4416 4416 4416 4416 4416 
the-alps 8 8 8 8 8 8 
be-piled 2 2 2 2 2 2 
dark-distance 1 1 1 1 1 1 
moisture-makes 1 1 1 1 1 1 
of-it 101 101 101 101 101 101 
dark-chamber 11 11 11 11 11 11 
then-see 2 2 2 2 2 2 
which-is 371 371 371 371 371 371 
that-the 462 462 462 462 462 462 
the-horizon 35 35 35 35 35 35 
fire-and 16 16 16 16 16 16 
invisible-therefore 1 1 1 1 1 1 
show-their 5 5 5 5 5 5 
towards-the 155 155 155 155 155 155 
darkness-of 20 20 20 20 20 20 
is-caused 22 22 22 22 22 22 
the-movements 10 10 10 10 10 10 
p-147 1 0 1 1 1 1 
about-half 4 4 4 4 4 4 
we-might 6 6 6 6 6 6 
too-tall 1 1 1 1 1 1 
3-of 23 23 23 23 23 23 
310-318 2 2 2 2 2 2 
h-is 8 8 8 8 8 8 
m-n 28 28 28 28 28 28 
as-between 3 3 3 3 3 2 
reproduced-on 23 23 23 23 23 23 
corner-of 11 11 11 11 11 11 
as-the 308 308 308 308 308 308 
the-text 127 127 127 127 127 127 
natural-history 3 3 3 3 3 3 
proportions-of 38 38 38 38 38 38 
